sl_mult,tp_mult,threshold,min_rr,return_pct,sharpe,win_rate,profit_factor,max_dd,trades,sl_exits,tp_exits,avg_mae,avg_mfe,alpha,composite
3.2,6.0,60,2.0,4.7773893511985985,1.574551945023532,38.46153846153847,1.2639246640621822,5.362561598649445,52,32,20,2.5749285831333424,3.005932415835174,39.38269634465265,54.69087204470878
3.2,3.5,60,2.0,4.7773893511985985,1.574551945023532,38.46153846153847,1.2639246640621822,5.362561598649445,52,32,20,2.5749285831333424,3.005932415835174,39.38269634465265,54.69087204470878
3.5,5.0,55,1.5,5.986835327275253,1.4928584192674241,47.94520547945205,1.2242560593676592,4.2527812776796665,73,37,35,2.535126435777097,2.9525009108944755,40.5921423207293,54.004730257202766
3.5,4.5,55,1.5,5.986835327275253,1.4928584192674241,47.94520547945205,1.2242560593676592,4.2527812776796665,73,37,35,2.535126435777097,2.9525009108944755,40.5921423207293,54.004730257202766
3.5,3.5,55,1.5,5.986835327275253,1.4928584192674241,47.94520547945205,1.2242560593676592,4.2527812776796665,73,37,35,2.535126435777097,2.9525009108944755,40.5921423207293,54.004730257202766
3.5,4.0,55,1.5,5.986835327275253,1.4928584192674241,47.94520547945205,1.2242560593676592,4.2527812776796665,73,37,35,2.535126435777097,2.9525009108944755,40.5921423207293,54.004730257202766
3.5,4.5,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
3.5,5.5,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
3.5,5.0,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
3.5,4.0,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
3.5,6.0,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
3.5,3.5,50,2.0,4.914067127928979,1.5120625434992039,37.5,1.2455946810075111,5.80278901459335,48,30,18,2.752386406970418,3.6751923434197122,39.51937412138303,53.93946763671737
2.8,6.0,60,2.0,4.806494715863073,1.4239105445980234,38.80597014925373,1.2303731910757716,4.829959039064868,67,41,26,2.3105848816427583,2.5647162077028427,39.411801709317125,53.499451436878964
2.8,6.0,60,1.8,4.806494715863073,1.4239105445980234,38.80597014925373,1.2303731910757716,4.829959039064868,67,41,26,2.3105848816427583,2.5647162077028427,39.411801709317125,53.499451436878964
2.8,6.0,60,1.5,4.806494715863073,1.4239105445980234,38.80597014925373,1.2303731910757716,4.829959039064868,67,41,26,2.3105848816427583,2.5647162077028427,39.411801709317125,53.499451436878964
3.5,4.5,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.5,5.0,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.5,5.5,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.5,3.5,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.5,4.0,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.5,6.0,60,1.8,4.359501878137803,1.4479962332131617,41.17647058823529,1.2308266277424227,5.437109429974661,51,30,21,2.673380995021802,3.107688671232014,38.964808871591856,53.46786627351887
3.0,3.5,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,6.0,60,1.8,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,6.0,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,4.0,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,5.5,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
